certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
518/2009,2016-01-11,,"usd 4,991,350.07",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,bens e prestação serviços destinados à construção do aeroporto internacional de nacala,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,29/01/10 - 66ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2016.0,2009.0,Construção Civil
683/2012,2016-01-11,,"usd 2,469,916.76",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,complementação das obras para ampliação da capacidade do aeroporto internacional de nacala.,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,27/06/12 - 95ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2016.0,2012.0,Construção Civil
518/2009,2017-01-05,,"usd 4,892,203.42",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,bens e prestação serviços destinados à construção do aeroporto internacional de nacala,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,29/01/10 - 66ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2017.0,2009.0,Construção Civil
683/2012,2017-01-05,,"usd 2,630,795.87",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,complementação das obras para ampliação da capacidade do aeroporto internacional de nacala.,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,27/06/12 - 95ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2017.0,2012.0,Construção Civil
0021/2016 op 593,,,"usd 13,104.00",alpha química ltda.,proquimort import. s.a.s.,alpha química ltda.,colômbia,produtos químicos,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,11/05/2017,sain/mf,,,0738086,não,thayana,,alpha quimica,import proquimort sas,alpha quimica,,2016.0,Produtos
0055/2017 op 922,2017-03-07,,"usd 6,858.90",ventura biomédica ltda,heca s.a,ventura biomédica ltda,chile,produtos médicos,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,10/03/2017,sain/mf,,,não,não,ana,processo sei não encontrado. aguardar acesso ao mdic.,biomedica ventura,heca sa,biomedica ventura,2017.0,2017.0,Produtos
0021/2016 op 1000,2017-06-08,,"usd 14,832.00",alpha química ltda.,proquimort import. s.a.s.,alpha química ltda.,colômbia,produtos químicos,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,11/05/2017,sain/mf,,,não,não,,processo sei não encontrado. aguardar acesso ao mdic.,alpha quimica,import proquimort sas,alpha quimica,2017.0,2016.0,Produtos
0048/2017 op 884,2017-01-08,,"usd 46,893.64",cid produtos ltda.,centro de los compressores,cid produtos ltda.,paraguai,equipamentos de jardinagem,banco do brasil s.a. (proex),pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,01/03/2017,sain/mf,,,0738073/01657127,não,thayana/ana,,cid produtos,centro compressores de los,cid produtos,2017.0,2017.0,Equipamentos
518/2009,2017-01-11,,"usd 4,839,956.02",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,bens e prestação serviços destinados à construção do aeroporto internacional de nacala,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,29/01/10 - 66ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2017.0,2009.0,Construção Civil
683/2012,2017-01-11,,"usd 2,604,439.92",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,complementação das obras para ampliação da capacidade do aeroporto internacional de nacala.,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,27/06/12 - 95ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2017.0,2012.0,Construção Civil
