"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"valor_da_operacao_em_um";"valor_desembolsado_em_um";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"juros";"prazo_total_meses";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-07-24";"5230058,91";"5230058,91";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"8,0";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-07-24";"8092188,49";"8092188,49";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"8,03125";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA ANDRADE GUTIERREZ S/A";"17.262.213/0001-94";"GRANDE";"EXPORTACAO DE BENS E SERVICOS PARA IRRIGACAO TABACUNDO NA PROVINCIA DE PICHINCHA, EQUADOR.       ";"MG";"EQUADOR";572701;"1998-08-07";"64400000,0";"63847527,21999999";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,9375";144;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-08-07";"1445847,08";"1445847,08";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,9375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-09-17";"3065500,05";"3065500,05";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,9375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-11-17";"1309751,3";"1309751,3";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,6875";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-11-20";"2932634,55";"2932634,55";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,25";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-11-26";"4537861,72";"4537861,72";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,0625";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1998-12-16";"3281976,54";"3281976,54";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,3125";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"Exportação de bens e serviços para o Projeto de Manabi - Transposição Rios Chone e Portoviejo";"RJ";"EQUADOR";565900;"1999-02-10";"110747921,04";"110747921,04";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,375";168;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
