Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
518/2009,01/11/2016,01/07/2017,"USD 4,991,350.07",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
683/2012,01/11/2016,01/07/2017,"USD 2,469,916.76",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
518/2009,01/05/2017,01/08/2017,"USD 4,892,203.42",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
683/2012,01/05/2017,01/08/2017,"USD 2,630,795.87",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
0021/2016 op 593,13/06/2017,13/10/2017,"USD 13,104.00",Alpha Química Ltda.,Proquimort Import. S.A.S.,Alpha Química Ltda.,Colômbia,Produtos químicos,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,11/05/2017,SAIN/MF,,,0738086,não,Thayana,
0055/2017 op 922,03/07/2017,09/11/2017,"USD 6,858.90",Ventura Biomédica LTDA,HECA S.A,Ventura Biomédica LTDA,Chile,Produtos médicos,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,10/03/2017,SAIN/MF,,,não,não,Ana,Processo SEI não encontrado. Aguardar acesso ao MDIC.
0021/2016 op 1000,06/08/2017,20/11/2017,"USD 14,832.00",Alpha Química Ltda.,Proquimort Import. S.A.S.,Alpha Química Ltda.,Colômbia,Produtos químicos,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,11/05/2017,SAIN/MF,,,não,não,,Processo SEI não encontrado. Aguardar acesso ao MDIC.
0048/2017 op 884,01/08/2017,21/12/2017,"USD 46,893.64",Cid Produtos Ltda.,Centro de Los Compressores,Cid Produtos Ltda.,Paraguai,Equipamentos de jardinagem,Banco do Brasil S.A. (PROEX),Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,01/03/2017,SAIN/MF,,,0738073/01657127,não ,Thayana/Ana,
518/2009,01/11/2017,01/02/2018,"USD 4,839,956.02",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
683/2012,01/11/2017,01/02/2018,"USD 2,604,439.92",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
776/2015,08/09/2017,01/02/2018,"USD 6,078,590.59",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,",Credit Suisse Brazil (Bahamas) Limited,Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",Credit Suisse Brazil (Bahamas) Limited,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme desembolsos,26/08/2015 - 128ª RO,Cofig/Camex,sim,sim,7633113,7633113,Ana,Temos 3 notas promissórias referentes aos títulos de principal. Estão faltando as notas dos títulos de juros. O Ofício 43/2018 da ABGF menciona que o banco apresentou 6 notas autenticadas. Verificar se estão no arquivo físico SUCEX.
782/2016,08/09/2017,01/02/2018,"USD 4,284,416.64",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Linited, Panama Brach.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Linited, Panama Brach.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,2399921,7631189,Eduardo,Temos 3 notas promissórias referentes aos títulos de principal. Estão faltando as notas dos títulos de juros. O Ofício 43/2018 da ABGF menciona que o banco apresentou 6 notas autenticadas. Verificar se estão no arquivo físico SUCEX.
783/2016,08/09/2017,01/02/2018,"USD 1,071,104.32",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Limited, Grand Cayman Branch.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Limited, Grand Cayman Branch.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,7607207,7607207,Thayana,"Os titulos de credito somam USD 12.493.556,68. O Documento 2400287 que consta no SEI está incompleto. Temos 3 notas promissórias referentes aos títulos de principal. Estão faltando as notas dos títulos de juros. "
791/2016,24/06/2017,19/02/2018,"USD 85,458.04",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,-,1656727,1656730,Ana ,"Diferença de 0,1 centavo"
